Marker file version: 1
Time format: Time
[input]	00:00:00.00000000		Let’s learn more about keeping a garden green, while EVE continues gardening!
Let’s	00:00:00.01000000	00:00:00.43997917	
learn	00:00:00.47206250	00:00:00.75997917	
more	00:00:00.76000000	00:00:01.15000000	
about	00:00:01.17029167	00:00:01.46281250	
keeping	00:00:01.50000000	00:00:01.86581250	
a	00:00:01.90000000	00:00:01.96981250	
garden	00:00:02.00000000	00:00:02.46056250	
green,	00:00:02.48656250	00:00:03.07806250	
while	00:00:03.13435417	00:00:03.42743750	
EVE	00:00:03.48431250	00:00:03.85968750	
continues	00:00:03.89056250	00:00:04.73139583	
gardening!	00:00:04.76000000	00:00:05.50000000	
