Marker file version: 1
Time format: Time
[input]	00:00:00.00000000		EVE spends her time planting seeds, watering plants, and checking to ensure each and every plant is healthy. She seems to have found a new directive in her precious one-of-a-kind-garden.
EVE	00:00:00.01000000	00:00:00.27997917	
spends	00:00:00.28000000	00:00:00.67997917	
her	00:00:00.68000000	00:00:00.83995833	
time	00:00:00.90000000	00:00:01.19997917	
planting	00:00:01.22916667	00:00:01.75997917	
seeds,	00:00:01.76000000	00:00:02.39995833	
watering	00:00:02.48000000	00:00:03.03997917	
plants,	00:00:03.04000000	00:00:03.71997917	
and	00:00:03.74672917	00:00:03.91997917	
checking	00:00:03.94287500	00:00:04.45858333	
to	00:00:04.47066667	00:00:04.55995833	
ensure	00:00:04.62862500	00:00:05.12068750	
each	00:00:05.23150000	00:00:05.61741667	
and	00:00:05.66808333	00:00:05.91997917	
every	00:00:05.92000000	00:00:06.27997917	
plant	00:00:06.34450000	00:00:06.87995833	
is	00:00:06.88000000	00:00:07.13122917	
healthy.	00:00:07.15527083	00:00:07.70000000	
She	00:00:08.04752083	00:00:08.30000000	
seems	00:00:08.31083333	00:00:08.78381250	
to	00:00:08.81402083	00:00:08.87127083	
have	00:00:08.90000000	00:00:09.15943750	
found	00:00:09.18631250	00:00:09.60000000	
a	00:00:09.64502083	00:00:09.84389583	
new	00:00:09.90000000	00:00:10.11085417	
directive	00:00:10.14802083	00:00:10.92606250	
in	00:00:10.96000000	00:00:11.11995833	
her	00:00:11.12000000	00:00:11.31997917	
precious	00:00:11.37577083	00:00:12.10000000	
one-of-a-kind-garden.	00:00:12.24000000	00:00:14.05345833	
